
root@salvator-x:~#  
root@salvator-x:~# 
Please press 1 button on the keyboard when you see log as <Testing ... (interrupt to exit)>

Press any key to continue...

root@salvator-x:~# test_keyboard=/dev/input/by-id/`ls /dev/input/by-id | grep kbd`
root@salvator-x:~# 
root@salvator-x:~# evtest $test_keyboard
Input driver version is 1.0.1
Input device ID: bus 0x3 vendor 0x4d9 product 0xa061 version 0x110
Input device name: "USB Keyboard"
    Event code 51 (KEY_COMMA)
    Event code 52 (KEY_DOT)
    Event code 53 (KEY_SLASH)
    Event code 54 (KEY_RIGHTSHIFT)
    Event code 55 (KEY_KPASTERISK)
    Event code 56 (KEY_LEFTALT)
    Event code 57 (KEY_SPACE)
    Event code 58 (KEY_CAPSLOCK)
    Event code 59 (KEY_F1)
    Event code 60 (KEY_F2)
    Event code 61 (KEY_F3)
    Event code 62 (KEY_F4)
    Event code 63 (KEY_F5)
    Event code 64 (KEY_F6)
    Event code 65 (KEY_F7)
    Event code 66 (KEY_F8)
    Event code 67 (KEY_F9)
    Event code 68 (KEY_F10)
    Event code 69 (KEY_NUMLOCK)
    Event code 70 (KEY_SCROLLLOCK)
    Event code 71 (KEY_KP7)
    Event code 72 (KEY_KP8)
    Event code 73 (KEY_KP9)
    Event code 74 (KEY_KPMINUS)
    Event code 75 (KEY_KP4)
    Event code 76 (KEY_KP5)
    Event code 77 (KEY_KP6)
    Event code 78 (KEY_KPPLUS)
    Event code 79 (KEY_KP1)
    Event code 80 (KEY_KP2)
    Event code 81 (KEY_KP3)
    Event code 82 (KEY_KP0)
    Event code 83 (KEY_KPDOT)
    Event code 85 (KEY_ZENKAKUHANKAKU)
    Event code 86 (KEY_102ND)
    Event code 87 (KEY_F11)
    Event code 88 (KEY_F12)
    Event code 89 (KEY_RO)
    Event code 90 (KEY_KATAKANA)
    Event code 91 (KEY_HIRAGANA)
    Event code 92 (KEY_HENKAN)
    Event code 93 (KEY_KATAKANAHIRAGANA)
    Event code 94 (KEY_MUHENKAN)
    Event code 95 (KEY_KPJPCOMMA)
    Event code 96 (KEY_KPENTER)
    Event code 97 (KEY_RIGHTCTRL)
    Event code 98 (KEY_KPSLASH)
    Event code 99 (KEY_SYSRQ)
    Event code 100 (KEY_RIGHTALT)
    Event code 102 (KEY_HOME)
    Event code 103 (KEY_UP)
    Event code 104 (KEY_PAGEUP)
    Event code 105 (KEY_LEFT)
    Event code 106 (KEY_RIGHT)
    Event code 107 (KEY_END)
    Event code 108 (KEY_DOWN)
    Event code 109 (KEY_PAGEDOWN)
    Event code 110 (KEY_INSERT)
    Event code 111 (KEY_DELETE)
    Event code 113 (KEY_MUTE)
    Event code 114 (KEY_VOLUMEDOWN)
    Event code 115 (KEY_VOLUMEUP)
    Event code 116 (KEY_POWER)
    Event code 117 (KEY_KPEQUAL)
    Event code 119 (KEY_PAUSE)
    Event code 121 (KEY_KPCOMMA)
    Event code 122 (KEY_HANGUEL)
    Event code 123 (KEY_HANJA)
    Event code 124 (KEY_YEN)
    Event code 125 (KEY_LEFTMETA)
    Event code 126 (KEY_RIGHTMETA)
    Event code 127 (KEY_COMPOSE)
    Event code 128 (KEY_STOP)
    Event code 129 (KEY_AGAIN)
    Event code 130 (KEY_PROPS)
    Event code 131 (KEY_UNDO)
    Event code 132 (KEY_FRONT)
    Event code 133 (KEY_COPY)
    Event code 134 (KEY_OPEN)
    Event code 135 (KEY_PASTE)
    Event code 136 (KEY_FIND)
    Event code 137 (KEY_CUT)
    Event code 138 (KEY_HELP)
    Event code 140 (KEY_CALC)
    Event code 142 (KEY_SLEEP)
    Event code 150 (KEY_WWW)
    Event code 152 (KEY_SCREENLOCK)
    Event code 158 (KEY_BACK)
    Event code 159 (KEY_FORWARD)
    Event code 161 (KEY_EJECTCD)
    Event code 163 (KEY_NEXTSONG)
    Event code 164 (KEY_PLAYPAUSE)
    Event code 165 (KEY_PREVIOUSSONG)
    Event code 166 (KEY_STOPCD)
    Event code 173 (KEY_REFRESH)
    Event code 176 (KEY_EDIT)
    Event code 177 (KEY_SCROLLUP)
    Event code 178 (KEY_SCROLLDOWN)
    Event code 179 (KEY_KPLEFTPAREN)
    Event code 180 (KEY_KPRIGHTPAREN)
    Event code 183 (KEY_F13)
    Event code 184 (KEY_F14)
    Event code 185 (KEY_F15)
    Event code 186 (KEY_F16)
    Event code 187 (KEY_F17)
    Event code 188 (KEY_F18)
    Event code 189 (KEY_F19)
    Event code 190 (KEY_F20)
    Event code 191 (KEY_F21)
    Event code 192 (KEY_F22)
    Event code 193 (KEY_F23)
    Event code 194 (KEY_F24)
    Event code 240 (KEY_UNKNOWN)
  Event type 4 (EV_MSC)
    Event code 4 (MSC_SCAN)
  Event type 17 (EV_LED)
    Event code 0 (LED_NUML) state 0
    Event code 1 (LED_CAPSL) state 0
    Event code 2 (LED_SCROLLL) state 0
Key repeat handling:
  Repeat type 20 (EV_REP)
    Repeat code 0 (REP_DELAY)
      Value    250
    Repeat code 1 (REP_PERIOD)
      Value     33
Properties:
Testing ... (interrupt to exit)
Event: time 1516160407.079861, type 4 (EV_MSC), code 4 (MSC_SCAN), value 7000a
Event: time 1516160407.079861, type 1 (EV_KEY), code 34 (KEY_G), value 1
Event: time 1516160407.079861, -------------- SYN_REPORT ------------
Event: time 1516160407.349566, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.349566, -------------- SYN_REPORT ------------
Event: time 1516160407.389461, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.389461, -------------- SYN_REPORT ------------
Event: time 1516160407.429456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.429456, -------------- SYN_REPORT ------------
Event: time 1516160407.469456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.469456, -------------- SYN_REPORT ------------
Event: time 1516160407.509456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.509456, -------------- SYN_REPORT ------------
Event: time 1516160407.549456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.549456, -------------- SYN_REPORT ------------
Event: time 1516160407.589456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.589456, -------------- SYN_REPORT ------------
Event: time 1516160407.629457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.629457, -------------- SYN_REPORT ------------
Event: time 1516160407.669457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.669457, -------------- SYN_REPORT ------------
Event: time 1516160407.709456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.709456, -------------- SYN_REPORT ------------
Event: time 1516160407.749456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.749456, -------------- SYN_REPORT ------------
Event: time 1516160407.789456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.789456, -------------- SYN_REPORT ------------
Event: time 1516160407.829456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.829456, -------------- SYN_REPORT ------------
Event: time 1516160407.869456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.869456, -------------- SYN_REPORT ------------
Event: time 1516160407.909456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.909456, -------------- SYN_REPORT ------------
Event: time 1516160407.949456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.949456, -------------- SYN_REPORT ------------
Event: time 1516160407.989466, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160407.989466, -------------- SYN_REPORT ------------
Event: time 1516160408.029456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.029456, -------------- SYN_REPORT ------------
Event: time 1516160408.069456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.069456, -------------- SYN_REPORT ------------
Event: time 1516160408.109456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.109456, -------------- SYN_REPORT ------------
Event: time 1516160408.149456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.149456, -------------- SYN_REPORT ------------
Event: time 1516160408.189456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.189456, -------------- SYN_REPORT ------------
Event: time 1516160408.229456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.229456, -------------- SYN_REPORT ------------
Event: time 1516160408.269455, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.269455, -------------- SYN_REPORT ------------
Event: time 1516160408.309456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.309456, -------------- SYN_REPORT ------------
Event: time 1516160408.349456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.349456, -------------- SYN_REPORT ------------
Event: time 1516160408.389456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.389456, -------------- SYN_REPORT ------------
Event: time 1516160408.429456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.429456, -------------- SYN_REPORT ------------
Event: time 1516160408.469462, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.469462, -------------- SYN_REPORT ------------
Event: time 1516160408.509456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.509456, -------------- SYN_REPORT ------------
Event: time 1516160408.549456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.549456, -------------- SYN_REPORT ------------
Event: time 1516160408.589456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.589456, -------------- SYN_REPORT ------------
Event: time 1516160408.629457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.629457, -------------- SYN_REPORT ------------
Event: time 1516160408.669457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.669457, -------------- SYN_REPORT ------------
Event: time 1516160408.709457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.709457, -------------- SYN_REPORT ------------
Event: time 1516160408.749457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.749457, -------------- SYN_REPORT ------------
Event: time 1516160408.789462, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.789462, -------------- SYN_REPORT ------------
Event: time 1516160408.829456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.829456, -------------- SYN_REPORT ------------
Event: time 1516160408.869456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.869456, -------------- SYN_REPORT ------------
Event: time 1516160408.909456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.909456, -------------- SYN_REPORT ------------
Event: time 1516160408.949457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.949457, -------------- SYN_REPORT ------------
Event: time 1516160408.989456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160408.989456, -------------- SYN_REPORT ------------
Event: time 1516160409.029456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.029456, -------------- SYN_REPORT ------------
Event: time 1516160409.069456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.069456, -------------- SYN_REPORT ------------
Event: time 1516160409.109456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.109456, -------------- SYN_REPORT ------------
Event: time 1516160409.149456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.149456, -------------- SYN_REPORT ------------
Event: time 1516160409.189456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.189456, -------------- SYN_REPORT ------------
Event: time 1516160409.229456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.229456, -------------- SYN_REPORT ------------
Event: time 1516160409.269462, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.269462, -------------- SYN_REPORT ------------
Event: time 1516160409.309569, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.309569, -------------- SYN_REPORT ------------
Event: time 1516160409.349461, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.349461, -------------- SYN_REPORT ------------
Event: time 1516160409.389456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.389456, -------------- SYN_REPORT ------------
Event: time 1516160409.429466, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.429466, -------------- SYN_REPORT ------------
Event: time 1516160409.469455, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.469455, -------------- SYN_REPORT ------------
Event: time 1516160409.509456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.509456, -------------- SYN_REPORT ------------
Event: time 1516160409.549455, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.549455, -------------- SYN_REPORT ------------
Event: time 1516160409.589459, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.589459, -------------- SYN_REPORT ------------
Event: time 1516160409.629456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.629456, -------------- SYN_REPORT ------------
Event: time 1516160409.669457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.669457, -------------- SYN_REPORT ------------
Event: time 1516160409.709456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.709456, -------------- SYN_REPORT ------------
Event: time 1516160409.749456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.749456, -------------- SYN_REPORT ------------
Event: time 1516160409.789456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.789456, -------------- SYN_REPORT ------------
Event: time 1516160409.829456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.829456, -------------- SYN_REPORT ------------
Event: time 1516160409.869456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.869456, -------------- SYN_REPORT ------------
Event: time 1516160409.909456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.909456, -------------- SYN_REPORT ------------
Event: time 1516160409.949456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.949456, -------------- SYN_REPORT ------------
Event: time 1516160409.989456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160409.989456, -------------- SYN_REPORT ------------
Event: time 1516160410.029456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.029456, -------------- SYN_REPORT ------------
Event: time 1516160410.069456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.069456, -------------- SYN_REPORT ------------
Event: time 1516160410.109456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.109456, -------------- SYN_REPORT ------------
Event: time 1516160410.149456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.149456, -------------- SYN_REPORT ------------
Event: time 1516160410.189456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.189456, -------------- SYN_REPORT ------------
Event: time 1516160410.229456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.229456, -------------- SYN_REPORT ------------
Event: time 1516160410.269456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.269456, -------------- SYN_REPORT ------------
Event: time 1516160410.309459, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.309459, -------------- SYN_REPORT ------------
Event: time 1516160410.349456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.349456, -------------- SYN_REPORT ------------
Event: time 1516160410.389461, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.389461, -------------- SYN_REPORT ------------
Event: time 1516160410.429456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.429456, -------------- SYN_REPORT ------------
Event: time 1516160410.469455, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.469455, -------------- SYN_REPORT ------------
Event: time 1516160410.509456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.509456, -------------- SYN_REPORT ------------
Event: time 1516160410.549456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.549456, -------------- SYN_REPORT ------------
Event: time 1516160410.589456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.589456, -------------- SYN_REPORT ------------
Event: time 1516160410.629456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.629456, -------------- SYN_REPORT ------------
Event: time 1516160410.669457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.669457, -------------- SYN_REPORT ------------
Event: time 1516160410.709457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.709457, -------------- SYN_REPORT ------------
Event: time 1516160410.749456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.749456, -------------- SYN_REPORT ------------
Event: time 1516160410.789456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.789456, -------------- SYN_REPORT ------------
Event: time 1516160410.829456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.829456, -------------- SYN_REPORT ------------
Event: time 1516160410.869469, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.869469, -------------- SYN_REPORT ------------
Event: time 1516160410.909456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.909456, -------------- SYN_REPORT ------------
Event: time 1516160410.949456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.949456, -------------- SYN_REPORT ------------
Event: time 1516160410.989456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160410.989456, -------------- SYN_REPORT ------------
Event: time 1516160411.029456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.029456, -------------- SYN_REPORT ------------
Event: time 1516160411.069456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.069456, -------------- SYN_REPORT ------------
Event: time 1516160411.109456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.109456, -------------- SYN_REPORT ------------
Event: time 1516160411.149456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.149456, -------------- SYN_REPORT ------------
Event: time 1516160411.189456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.189456, -------------- SYN_REPORT ------------
Event: time 1516160411.229457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.229457, -------------- SYN_REPORT ------------
Event: time 1516160411.269456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.269456, -------------- SYN_REPORT ------------
Event: time 1516160411.309456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.309456, -------------- SYN_REPORT ------------
Event: time 1516160411.349580, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.349580, -------------- SYN_REPORT ------------
Event: time 1516160411.389460, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.389460, -------------- SYN_REPORT ------------
Event: time 1516160411.429456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.429456, -------------- SYN_REPORT ------------
Event: time 1516160411.469455, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.469455, -------------- SYN_REPORT ------------
Event: time 1516160411.509461, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.509461, -------------- SYN_REPORT ------------
Event: time 1516160411.549456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.549456, -------------- SYN_REPORT ------------
Event: time 1516160411.589456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.589456, -------------- SYN_REPORT ------------
Event: time 1516160411.629456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.629456, -------------- SYN_REPORT ------------
Event: time 1516160411.669457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.669457, -------------- SYN_REPORT ------------
Event: time 1516160411.709456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.709456, -------------- SYN_REPORT ------------
Event: time 1516160411.749456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.749456, -------------- SYN_REPORT ------------
Event: time 1516160411.789456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.789456, -------------- SYN_REPORT ------------
Event: time 1516160411.829456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.829456, -------------- SYN_REPORT ------------
Event: time 1516160411.869457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.869457, -------------- SYN_REPORT ------------
Event: time 1516160411.909459, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.909459, -------------- SYN_REPORT ------------
Event: time 1516160411.949456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.949456, -------------- SYN_REPORT ------------
Event: time 1516160411.989456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160411.989456, -------------- SYN_REPORT ------------
Event: time 1516160412.029456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.029456, -------------- SYN_REPORT ------------
Event: time 1516160412.069456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.069456, -------------- SYN_REPORT ------------
Event: time 1516160412.109456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.109456, -------------- SYN_REPORT ------------
Event: time 1516160412.149456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.149456, -------------- SYN_REPORT ------------
Event: time 1516160412.189456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.189456, -------------- SYN_REPORT ------------
Event: time 1516160412.229457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.229457, -------------- SYN_REPORT ------------
Event: time 1516160412.269456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.269456, -------------- SYN_REPORT ------------
Event: time 1516160412.309465, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.309465, -------------- SYN_REPORT ------------
Event: time 1516160412.349460, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.349460, -------------- SYN_REPORT ------------
Event: time 1516160412.389457, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.389457, -------------- SYN_REPORT ------------
Event: time 1516160412.429456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.429456, -------------- SYN_REPORT ------------
Event: time 1516160412.469462, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.469462, -------------- SYN_REPORT ------------
Event: time 1516160412.509456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.509456, -------------- SYN_REPORT ------------
Event: time 1516160412.549456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.549456, -------------- SYN_REPORT ------------
Event: time 1516160412.589456, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.589456, -------------- SYN_REPORT ------------
Event: time 1516160412.629461, type 1 (EV_KEY), code 34 (KEY_G), value 2
Event: time 1516160412.629461, -------------- SYN_REPORT ------------
Event: time 1516160412.669457, type 1 (E^C
root@salvator-x:~# 
root@salvator-x:~# 
 
#### Result: OK ####
